filename,label
unknown_writer0_076.jpeg,train
unknown_writer0_125.jpeg,train
unknown_writer0_020.jpeg,train
unknown_writer0_065.jpeg,train
unknown_writer0_011.jpeg,train
nawa_writer1_065.jpeg,train
unknown_writer0_090.jpeg,train
unknown_writer0_019.jpeg,train
nawa_writer4_119.jpeg,train
unknown_writer0_006.jpeg,train
unknown_writer0_050.jpeg,train
nawa_writer1_021.jpeg,train
nawa_writer3_054.jpeg,train
nawa_writer1_058.jpeg,train
nawa_writer4_111.jpeg,train
nawa_writer4_129.jpeg,train
unknown_writer0_055.jpeg,train
unknown_writer0_071.jpeg,train
unknown_writer0_103.jpeg,train
nawa_writer1_020.jpeg,train
nawa_writer3_016.jpeg,train
nawa_writer3_057.jpeg,train
nawa_writer1_047.jpeg,train
unknown_writer0_106.jpeg,train
unknown_writer0_099.jpeg,train
nawa_writer1_059.jpeg,train
nawa_writer4_096.jpeg,train
unknown_writer0_116.jpeg,train
unknown_writer0_008.jpeg,train
nawa_writer1_005.jpeg,train
nawa_writer3_058.jpeg,train
nawa_writer4_143.jpeg,train
unknown_writer0_080.jpeg,train
nawa_writer4_116.jpeg,train
unknown_writer0_016.jpeg,train
unknown_writer0_084.jpeg,train
nawa_writer3_021.jpeg,train
nawa_writer1_009.jpeg,train
unknown_writer0_122.jpeg,train
nawa_writer1_001.jpeg,train
nawa_writer1_016.jpeg,train
unknown_writer0_062.jpeg,train
nawa_writer3_019.jpeg,train
nawa_writer2_058.jpeg,train
nawa_writer4_095.jpeg,train
unknown_writer0_012.jpeg,train
nawa_writer4_153.jpeg,train
nawa_writer4_148.jpeg,train
unknown_writer0_105.jpeg,train
nawa_writer2_063.jpeg,train
nawa_writer2_064.jpeg,train
unknown_writer0_097.jpeg,train
nawa_writer4_142.jpeg,train
nawa_writer4_120.jpeg,train
nawa_writer1_046.jpeg,train
nawa_writer3_023.jpeg,train
nawa_writer4_170.jpeg,train
unknown_writer0_087.jpeg,train
nawa_writer3_043.jpeg,train
nawa_writer1_026.jpeg,train
nawa_writer3_050.jpeg,train
unknown_writer0_058.jpeg,train
nawa_writer1_033.jpeg,train
